Rank,Title,Rating / 5,Difficulty / 5,"Length
(Hours)"
416,Sniper Elite III,3.57,3.15,22.78
417,Strider,3.57,3.11,10.14
418,Assassin's Creed IV: Black Flag - Freedom Cry,3.56,2.86,11.39
419,Injustice: Gods Among Us - Ultimate Edition,3.56,3.16,20.68
420,LittleBigPlanet 3,3.56,2.75,30.94
421,FIFA 17,3.55,2.93,54.36
422,J-Stars Victory Vs+,3.54,2.96,34.48
423,The Sims 4,3.54,2.5,66.53
424,Tropico 5,3.54,3.27,35.7
425,Yakuza 3 Remastered,3.54,3.31,63.4
426,Just Cause 3,3.54,2.94,41.52
427,FIFA 16,3.53,2.87,62.27
428,Tom Clancy's The Division,3.53,3.06,54.72
429,Beyond: Two Souls,3.52,2.06,16.13
430,FIFA 18,3.52,3.19,62.5
431,EA Sports UFC 2,3.51,3.68,46
432,Dead by Daylight,3.51,3.47,69.53
433,Shenmue III,3.51,2.83,36.38
434,Vampyr,3.51,3.18,33.49
435,Need for Speed: Rivals,3.5,3.07,32.11
436,Gauntlet: Slayer Edition,3.5,3.32,21.51
437,Gran Turismo Sport,3.5,3.13,62.19
438,Trackmania Turbo,3.49,3.85,44
439,Call of Duty: Black Ops III,3.48,2.96,42.11
440,PixelJunk Shooter Ultimate,3.48,3,14.5
441,The Unfinished Swan,3.48,1.98,4.74
442,GreedFall,3.48,3.01,50.79
443,Dissidia: Final Fantasy NT,3.47,3.2,49.89
444,The Legend of Korra,3.46,3.64,17.73
445,7 Days to Die,3.46,3.76,75.69
446,Call of Duty: Advanced Warfare,3.45,2.83,29.7
447,Game of Thrones: A Telltale Games Series,3.45,1.54,11.62
448,Trine 2: Complete Story,3.44,3.07,21.16
449,Star Ocean: Integrity and Faithlessness,3.44,2.9,48.53
450,Driveclub,3.43,3.51,43.39
451,Mortal Kombat 11,3.43,3.1,47.72
452,Spelunky,3.42,4.35,54.56
453,Mercenary Kings,3.41,3.73,42.3
454,Yooka-Laylee,3.41,3.07,29.19
455,Call of Duty: WWII,3.41,2.96,25.58
456,Mirror's Edge Catalyst,3.41,2.91,20.64
457,Need for Speed,3.41,2.92,34.51
458,Lara Croft and the Temple of Osiris,3.41,2.85,12.25
459,Darksiders III,3.4,3.57,24.31
460,WWE 2K18,3.4,2.92,58.87
461,Destiny 2,3.39,2.75,59.68
462,Metro Exodus,3.39,3.12,27.95
463,CounterSpy,3.39,3.15,7.54
464,Fall Guys: Ultimate Knockout,3.38,3.57,39.38
465,Madden NFL 25,3.38,2.63,32.59
466,Never Alone,3.38,2.14,5.65
467,Godzilla,3.37,2.95,30.82
468,War Thunder,3.36,3.8,56
469,Killzone: Shadow Fall,3.36,3.15,17.66
470,Apotheon,3.36,2.93,10.88
471,For Honor,3.35,3.27,36.9
472,Friday the 13th: The Game,3.35,3.29,53.67
473,Need for Speed Payback,3.33,3.06,38.8
474,Battlefield Hardline,3.33,2.89,29.66
475,WWE 2K19,3.31,2.71,46.37
476,Far Cry New Dawn,3.3,2.88,24.43
477,Dead Nation: Apocalypse Edition,3.3,3.53,14.4
478,Mafia III,3.29,2.86,34.57
479,Natural Doctrine,3.29,4.28,41.74
480,Lords of the Fallen,3.29,3.34,27.87
481,Street Fighter V,3.28,3.1,42.27
482,WWE 2K15,3.28,2.73,34.56
483,Murdered: Soul Suspect,3.27,2.1,13.38
484,Assassin's Creed Unity,3.27,2.96,37.92
485,Thief,3.27,3.02,25.27
486,Stick it to the Man!,3.26,2.19,6.6
487,EA Sports UFC,3.25,3.22,33.43
488,Saints Row: Gat Out of Hell,3.25,2.62,15.24
489,DC Universe Online,3.24,2.93,69.51
490,Knack,3.24,3.04,18.78
491,No Man's Sky,3.23,2.52,63.99
492,Star Wars Battlefront,3.23,2.88,37.86
493,Mass Effect: Andromeda,3.23,2.83,63.81
494,Everybody's Gone to the Rapture,3.23,1.84,8.29
495,The Order: 1886,3.22,2.52,9.57
496,Dynasty Warriors 9,3.21,2.62,73.35
497,Call of Duty: Black Ops 4,3.2,3.06,60.64
498,Call of Duty: Modern Warfare,3.19,2.95,35.95
499,Call of Duty: Infinite Warfare,3.18,2.81,22.85
500,A King's Tale: Final Fantasy XV,3.18,2.53,7.19
501,Fortnite,3.16,3.28,59.62
502,Agents of Mayhem,3.16,2.74,29.03
503,Goat Simulator,3.16,2.19,18.71
504,Platinum Demo: Final Fantasy XV,3.15,2.38,1.99
505,Call of Duty: Ghosts,3.14,2.74,25.57
506,Evolve,3.13,3.5,37.4
507,Contrast,3.12,2.19,6.23
508,Bound by Flame,3.11,3.78,21.4
509,Styx: Master of Shadows,3.11,3.72,22.33
510,Zombi,3.1,3.78,16.99
511,Valkyria Revolution,3.1,2.61,52.41
512,Gone Home: Console Edition,3.1,1.38,3.12
513,Tekken 7,3.05,2.91,33.42
514,flOw,3.04,2.15,3.15
515,Grow Home,3.03,2.07,8.65
516,The Amazing Spider-Man 2,3.02,2.55,17.62
517,The Last of Us Part II,3,2.71,29.86
518,NHL 15,2.97,2.85,44.76
519,Marvel vs. Capcom: Infinite,2.93,2.87,31.74
520,Mighty No. 9,2.93,3.75,17.21
521,Sonic Forces,2.91,2.46,12.81
522,Red Dead Online,2.89,2.92,78.69
523,Marvel's Avengers,2.88,3.01,42.95
524,Blacklight: Retribution,2.81,2.97,24.64
525,Jump Force,2.72,2.74,29.91
526,One Piece: Burning Blood,2.68,2.34,18.5
